88,83,84,84,76,77,72,73,79,80,74,71,71,77,74,76,76,78,81,82,81,74,75,77
81,82,93,91,91,87,87,84,75,67,66,64,63,65,66,68,85,83,84,84,85,80,78,76
76,78,79,82,82,81,81,81,81,86,93,93,90,86,83,83,82,80,77,83,93,94,94,92
91,90,90,91,93,90,88,87,89,91,88,89,88,85,82,79,80,82,83,81,84,90,93,94
95,95,93,91,91,93,93,93,91,91,87,86,83,81,80,82,85,86,87,83,82,82,87,92
92,86,83,82,85,90,92,89,87,87,89,84,81,84,84,82,81,82,92,95,94,93,91,90
88,91,89,87,85,86,93,95,95,95,94,100,99,100,95,95,93,92,91,91,89,100,100,99
99,99,99,99,99,100,97,95,97,94,93,93,90,90,89,86,92,93,94,93,86,85,83,82
81,81,82,86,88,90,88,83,83,83,76,73,74,81,88,88,85,87,86,87,90,92,94,93
95,91,90,93,91,90,90,90,95,95,92,89,86,84,83,81,78,71,69,81,71,70,66,68
71,64,64,65,67,69,70,70,72,72,72,70,66,65,65,65,65,65,64,65,66,70,86,81
84,78,74,74,73,72,68,68,69,70,68,68,66,63,72,85,85,89,88,88,80,78,78,76
78,75,73,77,85,84,75,74,74,70,67,65,65,66,69,69,70,67,83,89,91,87,89,93
93,95,94,86,80,78,75,73,69,65,67,69,71,74,76,77,79,82,75,74,77,80,83,78
76,76,77,76,76,76,87,84,72,71,63,61,58,58,60,59,62,66,67,69,70,71,73,74
75,77,78,81,81,83,88,90,88,84,80,75,71,71,71,73,77,79,81,83,83,84,86,86
88,88,88,88,88,88,89,90,88,87,84,81,79,80,82,83,83,84,86,89,93,97,97,97
100,95,93,92,93,93,94,93,92,90,86,88,85,82,82,82,82,83,83,81,81,86,82,87
89,88,85,79,78,81,92,95,97,97,99,99,99,100,89,82,79,91,95,85,80,72,73,77
83,82,81,81,82,82,88,83,83,83,91,90,87,88,79,86,89,88,85,82,83,85,86,86
85,85,84,84,86,89,94,97,99,100,96,94,87,81,74,71,79,77,71,69,72,74,75,76
